movement speed: 0.2 | turn speed: 0.2 | turn resolution: 0.1 | goal resolution: 0.1husky position: 0.0 , 0.0 | husky orientation: 0.0 | angle to goal: 0.0
husky position: 0.0 , 0.0 | husky orientation: -0.584896 | angle to goal: 0.0
reached waypoint: 0 ; 0 | husky position: 0.0 ; 0.0
husky position: 0.0 , 0.0 | husky orientation: -0.585139 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.585285 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.585576 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.585819 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.586013 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.586304 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.586498 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.586838 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.587032 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.587226 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.587469 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.58776 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.587954 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.588148 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.588488 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.588682 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.588877 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.589216 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.589411 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.589702 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.589993 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.590139 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.59043 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.590673 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.590867 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.591158 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.591352 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.591692 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.591886 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.59208 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.592323 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.592614 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.592808 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.593002 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.593342 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.593536 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.593828 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.594119 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.594265 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.594556 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.594798 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.594993 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.595284 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.595478 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.595818 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.596012 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.596206 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.596449 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.59674 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.596934 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.597128 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.597468 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.597662 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.597954 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.598245 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.59839 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.598681 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.598924 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.599118 | angle to goal: 1.570796
